band_id,item_id,outcome,note
sisters-of-sigmar,holy_tome,creation-price,Verified on the Sisters of Sigmar page: 120 gc is the creation-list price; the page's own Trading Post section prices the Holy Tome 100 + D6x10 (Rare 8).
mercenaries,duelling_pistol,creation-price,Verified on the Mercenaries page: 25 gc (50 for a brace) is the printed creation-list price; no market-exception rule.
carnival-of-chaos,bow,creation-price,Verified on the Carnival of Chaos page: bow 15 gc is the printed creation-list price; no market-exception rule.
carnival-of-chaos,short_bow,creation-price,Verified on the Carnival of Chaos page: short bow 10 gc is the printed creation-list price; no market-exception rule.
carnival-of-chaos,flail,creation-price,Verified on the Carnival of Chaos page: Brute list flail 10 gc is the printed creation-list price; no market-exception rule.
cult-of-the-possessed,bow,creation-price,Verified on the Cult of the Possessed page: bow 15 gc is the printed creation-list price; no market-exception rule.
cult-of-the-possessed,short_bow,creation-price,Verified on the Cult of the Possessed page: short bow 10 gc is the printed creation-list price; no market-exception rule.
amazons-mordheim,sling,creation-price,Verified on the Amazons (Mordheim) page: sling 5 gc is the printed Henchwomen/Scout creation price (Town Cryer #23).
amazons-mordheim,healing_herbs,creation-price,Verified on the Amazons (Mordheim) page: healing herbs 35 gc is the printed Heroines-list price (Town Cryer #23).
gunnery-school-of-nuln,superior_blackpowder,creation-price,Verified on the Gunnery School page: superior black powder 25 gc is a Miscellaneous creation-list price; Impeccable Care covers black-powder weapons only.
hochland-bandits,buckler,creation-price,Verified on the Hochland Bandits page: Duelist-list buckler 10 gc is the printed creation price; Powder's Expensive! covers black-powder weapons only.
lizardmen,javelins,creation-price,Verified on the Lizardmen page: Skink javelins 10 gc is the printed creation-list price; the Armour rule covers light armour only.
