collection,band_id,band_name,list_id,list_name,item_id,item_name,list_cost,override,tp_entry,tp_price,tp_availability,status,verified_note,source_url,source_section
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,bow,Bow,10,,campaign.trading-post.bow,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,buckler,Buckler,5,,campaign.trading-post.buckler,5 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,club,Club,3,,campaign.trading-post.club,3 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,dagger,Dagger,2,,campaign.trading-post.dagger,2 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,enchanted_skins,Enchanted Skins,20,,campaign.trading-post.enchanted-skins,20 gc,rare,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,helmet,Helmet,10,,campaign.trading-post.helmet,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,sling,Sling,5,,campaign.trading-post.sling,2 gc,common,differs,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,spear,Spear,10,,campaign.trading-post.spear,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,sunstaff_lustria,Sunstaff Lustria,35,,campaign.trading-post.sunstaff-lustria,35 gc,rare,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),henchwomen-equipment-list,Henchwomen equipment list,sword,Sword,10,,campaign.trading-post.sword,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Henchwomen equipment list
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,amulet_of_the_moon,Amulet Of The Moon,50,,campaign.trading-post.amulet-of-the-moon,50 gc,rare,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,bow,Bow,10,,campaign.trading-post.bow,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,buckler,Buckler,5,,campaign.trading-post.buckler,5 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,club,Club,3,,campaign.trading-post.club,3 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,dagger,Dagger,2,,campaign.trading-post.dagger,2 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,enchanted_skins,Enchanted Skins,20,,campaign.trading-post.enchanted-skins,20 gc,rare,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,great_weapon,Great Weapon,15,,campaign.trading-post.great-weapon,(not sold),not_sold,no-market,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,healing_herbs,Healing Herbs,35,,campaign.trading-post.healing-herbs,20 gc + dice,rare,differs-special,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,helmet,Helmet,10,,campaign.trading-post.helmet,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,spear,Spear,10,,campaign.trading-post.spear,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,starblade,Starblade,15,,campaign.trading-post.starblade,15 gc,rare,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,starsword,Starsword,30,,campaign.trading-post.starsword,30 gc,rare,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,sunstaff_lustria,Sunstaff Lustria,35,,campaign.trading-post.sunstaff-lustria,35 gc,rare,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
mordheim,amazons-lustria,Amazons (Lustria),heroines-equipment-list,Heroines Equipment List,sword,Sword,10,,campaign.trading-post.sword,10 gc,common,consistent,,https://mordheimer.net/docs/warbands/grade-1b-warbands/amazons-lustria,Heroines Equipment List
